fname,set,num_sounds_without_noise,global_centroid
5cd32cd7d26b5638bd683eb7e53ba2b3,"background,chicken",1,1643.3981541182532
5581c39ccd0144f34dbabfd323d2bf24,"background,cow",1,1466.595251680667
6b6d0cc0399436a4e2467c570ece8abb,"background,dog",1,1535.1593975972437
f245e77456d993579819d3ee86e11da7,"background,donkey",1,2415.895967107151
18b74197db09559b994967e5a7616532,"background,elephant",1,1646.960487305633
84850904fe0f8ced464e4acf23e4cdc6,"background,frog",1,1672.1796606463172
715bdfa1e374e073a7972949cbd610e0,"background,horse",1,1752.5764138959053
17c2a0f090695f8bb6cd9ac9a67afa07,"background,lion",1,1558.8432265791164
1bb09993c22d5bf9b582f8e89fc10a4f,"background,monkey",1,1915.6396453138095
d77ed7a31c4077bdb60636c9f88c2ea8,"background,sheep",1,2213.635394571615
190002bcdd5b1beadae3ad5a73e060e2,"background,chicken,cow",2,1598.2551892145166
bee513f69cd98e12fade5aa754ad9f1c,"background,chicken,dog",2,1624.071099108457
4e4822cf364903e0fbf8cdae31ba023b,"background,chicken,donkey",2,2379.7443928470184
f6a6acee0bab42a15a8ed244a458818a,"background,chicken,elephant",2,1739.9116285348834
fc3d4094394df9fcfb549bf6181a17c1,"background,chicken,frog",2,1792.9708995853068
5a420f6d9d4831bd32b46336f32cd9a5,"background,chicken,horse",2,1850.3774305989364
0a50b154ea93f1cc1a005a0ffbc39530,"background,chicken,lion",2,1682.1920243795307
9283dcb568714c8783c798e002d4cc37,"background,chicken,monkey",2,2003.7571929179408
5eca22bfac153c9774d32536f10f1930,"background,chicken,sheep",2,2206.8864888203207
366a3d024d9feae4c2def19b1494a7fc,"background,cow,dog",2,1514.1014635945564
3fbb79d7c48aee68117e753cec0c009a,"background,cow,donkey",2,2303.5761663422686
a9716e2e7b154d7bae1c6e114c63f802,"background,cow,elephant",2,1614.2493552385379
5fab2c73530b39ec2dc4fab4b550741e,"background,cow,frog",2,1638.7548384167417
811ad985bc1c6a2602e3b40b8d6aadbe,"background,cow,horse",2,1704.162447490138
d2fdd7cf815e28864bff19e792611d3f,"background,cow,lion",2,1537.6735183555193
00e538de704c23d4d0e23c84d9ae5961,"background,cow,monkey",2,1827.2496071961941
2f178bda57007a805bc2107b2582b9cd,"background,cow,sheep",2,2115.2052531468053
658e38db049819fbc8111d65c3a92fef,"background,dog,donkey",2,2119.754629645531
7c096dba3a432d2bd949c40a977d6bb2,"background,dog,elephant",2,1665.6525544174192
0cc53b59606feff5b28b6ba3c9acf6f2,"background,dog,frog",2,1654.586302332348
b1057540865b8e6e6e3e709fc9cd21fb,"background,dog,horse",2,1757.6967785222737
7c2f650b3bcebdf43fd0b53d3bf824e8,"background,dog,lion",2,1613.6163472966966
d8c07e12bc520862ef850d419f79f9ec,"background,dog,monkey",2,1786.8107577747624
5d894199dc04f2be6c8b367444b16c22,"background,dog,sheep",2,1979.2956937884583
91dae91c9c7aed3e021e292e0ef59989,"background,donkey,elephant",2,2290.4670121667796
16ae7259b3a18f2bdbec47e62fc96cbd,"background,donkey,frog",2,2484.0007973280503
500b12b11ad5014bba044dc90a1955ca,"background,donkey,horse",2,2410.2489396395135
447c44ad07721630ba783809cfd1ae19,"background,donkey,lion",2,2244.2346962611487
b5f2ddd022be4714a3a9299683ac72d6,"background,donkey,monkey",2,2559.803565613638
2e298584dcfc215b5f52cf8c9360d429,"background,donkey,sheep",2,2538.646092531835
375e9a3fab85fa734d897cf44a3cfb5e,"background,elephant,frog",2,1770.2217358212417
f0a2a38b455d77a0c0895edd78d1e466,"background,elephant,horse",2,1746.0466284784352
1bcab6200fcbaed0f76845311bf2c8ae,"background,elephant,lion",2,1625.304565523499
212f72742c8be21d98c8e734553e67d7,"background,elephant,monkey",2,1901.2398053512493
1b5b8d4713a2650fe1043456f529c932,"background,elephant,sheep",2,2126.04825173029
3e92bee54c807b124422b3676b55cd49,"background,frog,horse",2,1870.199818370499
bec5a4866338a3b3aab5cd3fe74482a1,"background,frog,lion",2,1700.6918203780904
e3688218bfccd05031993aacab6c3b07,"background,frog,monkey",2,2019.5648196775614
78c8c3abb70dc5e8d78c7da5a81b26d7,"background,frog,sheep",2,2284.0285142982448
4216e2bf5bee2e49aa445f6a11bd1b34,"background,horse,lion",2,1699.4461406083979
f4037223929b364a4520ecb2ee8aee14,"background,horse,monkey",2,2024.570586502103
cc109b8ac3c755288767105149a5f65a,"background,horse,sheep",2,2203.5008013433394
fbfec10e3b5275d725e180fd26107f20,"background,lion,monkey",2,1839.4560743883824
5daa2bea199f4bc10bb3d7da303be727,"background,lion,sheep",2,2115.712631644444
76ed153b703f5f1c538e44b3067caadc,"background,monkey,sheep",2,2367.2676128697613
e713684fca41fdec8e95071fd3a38f36,"background,chicken,cow,dog",3,1601.5763091149602
9f09462e157f9b79bf737bb5d05f3477,"background,chicken,cow,donkey",3,2287.0551655646664
8bc442c44521c53051f2ad7e250cc2eb,"background,chicken,cow,elephant",3,1698.120010803388
5e2afbc9bd71efe5fd0cd3e5fc0fb382,"background,chicken,cow,frog",3,1740.6226201976408
4ae96522eb9e164b7a4d86711a394007,"background,chicken,cow,horse",3,1791.8550181122207
767ee1ee7526d305b5014e3e69a948f2,"background,chicken,cow,lion",3,1639.8653101205932
f3690411de28d6dd79cbd789ee376d1b,"background,chicken,cow,monkey",3,1914.7130830458402
f3f2caab299f2c501a03d00c792d8a02,"background,chicken,cow,sheep",3,2129.9089135181916
f541df47928a84389eca391552f69ae2,"background,chicken,dog,donkey",3,2144.435140978645
cfa8735a026b130124dfedda22dc8aa5,"background,chicken,dog,elephant",3,1719.9663809153785
6959329a65dcf331dd08a0e201d41b01,"background,chicken,dog,frog",3,1735.2251425562965
2c5e16fcb74776da3df5261a6f8f483a,"background,chicken,dog,horse",3,1808.4117707549472
3be8a617b86a5fe912bf676c4de7aba6,"background,chicken,dog,lion",3,1676.776225552629
42e338c13964ad93fe44097c070e7a3a,"background,chicken,dog,monkey",3,1847.7771073170036
afea94702ea00b7e605546f41f1091dd,"background,chicken,dog,sheep",3,2015.761004234364
cfdbb6e8dee4c8e33b3ef92a92cca556,"background,chicken,donkey,elephant",3,2275.9680539122614
d075bed362226952f776a0cb91d19e41,"background,chicken,donkey,frog",3,2438.967775749954
d4acab16c2c8720422aafd34f6192982,"background,chicken,donkey,horse",3,2362.765940899979
3666b4cf5afc1a45919f1c4cf6e8d16f,"background,chicken,donkey,lion",3,2204.408339574773
1ff72e1aab06974d86a2a7c767cd52f3,"background,chicken,donkey,monkey",3,2508.6573751874334
dccd3d55ed118307683355ecd9ac6025,"background,chicken,donkey,sheep",3,2484.0110696768547
4be17e151209854d1462ba2f6bf5eb4e,"background,chicken,elephant,frog",3,1846.6893788321827
29b0d53d89c538b3794d751b20e58f44,"background,chicken,elephant,horse",3,1826.145404729584
d65132661391ffb18ca51984e2972539,"background,chicken,elephant,lion",3,1710.7155337425797
ed1d8870acca72ceebe9586e95b5158f,"background,chicken,elephant,monkey",3,1970.3761253705525
4a0a413d6d4f1fa44dfe631607939c5d,"background,chicken,elephant,sheep",3,2146.9213549682026
fcd594e4579484ecd20fd59d689d35b5,"background,chicken,frog,horse",3,1945.9551045727574
9343e4be27d6b46d2c57da3d4e6bc5cf,"background,chicken,frog,lion",3,1798.457906078635
377b537d80fd73cc8ae6c30ec1a0453c,"background,chicken,frog,monkey",3,2085.996610523644
b1596ec334d6ea24907bbc77d2fea764,"background,chicken,frog,sheep",3,2272.086982402471
99487851f80742d38f06f1a99465bca1,"background,chicken,horse,lion",3,1799.1739185672704
fbee53601892dffa0c8979f082c58e3b,"background,chicken,horse,monkey",3,2089.112842958448
093f95c221a2013a58bc04450e0deafa,"background,chicken,horse,sheep",3,2208.2012316907317
84256676ee9ffbf0ac51da0a1d935378,"background,chicken,lion,monkey",3,1921.8968037077493
d413147207f3e19dca935e91fd2d3b53,"background,chicken,lion,sheep",3,2126.2765955306986
ba5496c0beac60af96bcb3e3e44b498a,"background,chicken,monkey,sheep",3,2359.033714441082
ea1cfccaa36c95f3d3174709dc7b82fc,"background,cow,dog,donkey",3,2074.4387506919657
d938f6eb471e0de732d67716b0cc2f33,"background,cow,dog,elephant",3,1643.7709229368093
65d65a2c179a877e669d3c749773c008,"background,cow,dog,frog",3,1629.6521562702428
d1d38fc6c305e8fb0a85ee55924ca286,"background,cow,dog,horse",3,1719.8697768733534
ee5d74ea6ae0b06a72bb49e161a7d4bf,"background,cow,dog,lion",3,1588.049880274542
