ORGANIZACJA;Strategia cyberbezpieczeństwa w organizacji;NIS2 art. 20 ust. 1, DORA art. 5;Czy organ zarządzający formalnie zatwierdził strategię cyberbezpieczeństwa i ponosi za nią odpowiedzialność prawną?;Strategia cyberbezpieczeństwa, czy organizacja posiada dokumenty potwierdzające jej we wszystkich systemach informatycznych?;Czy wiesz, że Twoja firma ma strategię cyberbezpieczeństwa i gdzie można ją znaleźć?;Tak;obowiązkowe;tak
ORGANIZACJA;Przeprowadzone szkolenia zarządu;NIS2 art. 20 ust. 2;Czy członkowie zarządu przeszli obowiązkowe szkolenia z cyberbezpieczeństwa?;Czy szkolenia są dokumentowane z listą uczestników wraz datami oraz zakresem  możliwymi do pokazania audytorowi?;Czy szef/zarząd Twojej firmy lub działu przechodził kiedykolwiek szkolenie z cyberbezpieczeństwa?;Tak;obowiązkowe;nie
ORGANIZACJA;Ramy zarządzania ryzykiem ICT;NIS2 art. 21 ust. 1 / DORA art. 6;Czy organizacja wdrożyła udokumentowane ramy zarządzania ryzykiem ICT zatwierdzone przez zarząd?;Czy ramy obejmują rejestr ryzyk z właścicielami i planami mitygacji aktualizowany co najmniej raz w roku?;Czy wiesz, kto w Twojej firmie odpowiada za bezpieczeństwo systemów IT?;Tak;obowiązkowe;tak
ORGANIZACJA;Ocena ryzyka łańcucha dostaw;NIS2 art. 21 ust. 2 lit. d / DORA art. 28;Czy przeprowadzana jest regularna ocena ryzyka uwzględniająca łańcuch dostaw i dostawców zewnętrznych?;Czy ocena obejmuje wszystkich dostawców ICT z klasyfikacją krytyczności i udokumentowanymi wynikami?;Czy wiesz, jakie zewnętrzne firmy mają dostęp do systemów lub danych Twojej organizacji?;Tak;obowiązkowe;nie
ORGANIZACJA;Zgłaszanie poważnych incydentów w 24h;NIS2 art. 23 ust. 4 lit. a / DORA art. 19;Czy organizacja jest w stanie zgłosić poważny incydent do organu krajowego w ciągu 24 godzin od wykrycia?;Czy system ticketowy(lub równoważny) wymusza checkpointy 24h/72h z automatycznym przypomnieniem i obowiązkowym polem zgłoszenia do KNF/CSIRT?;Czy wiesz, co zrobić i do kogo zadzwonić, gdy zauważysz coś podejrzanego na swoim komputerze?;Tak;obowiązkowe;tak
ORGANIZACJA;Klasyfikacja incydentów;NIS2 art. 23 ust. 3 / DORA art. 18;Czy organizacja posiada procedurę klasyfikacji incydentów pozwalającą ocenić, czy incydent jest poważny/znaczący?;Czy kryteria klasyfikacji są zaimplementowane w SIEM jako automatyczne reguły eskalacji?;Nie każda awaria to incydent bezpieczeństwa, czy potrafisz odróżnić zwykłą awarię od cyberataku?;Tak;obowiązkowe;nie
ORGANIZACJA;Powiadamianie klientów o incydentach;NIS2 art. 23 ust. 4 lit. c / DORA art. 14;Czy organizacja posiada zatwierdzoną procedurę komunikacji kryzysowej, która w sposób operacyjny (szablony, kanały, progi istotności) wdraża obowiązek niezwłocznego informowania odbiorców usług o poważnych incydentach;Czy istnieje system komunikacji z klientami / pracownikami z gotowymi szablonami uruchamialny w ciągu minut?;Czy masz wiedzę, że istnieje procedura powiadamiania klientów/pracowników o poważnych incydentach?;Tak;obowiązkowe;nie
DANE_WRAZLIWE;Zgłaszanie naruszeń danych osobowych do UODO (72h);RODO art. 33;Czy organizacja posiada odrębną procedurę zgłaszania naruszeń ochrony danych osobowych do Prezesa UODO w ciągu 72 godzin, niezależną od procedury zgłoszeń NIS2/DORA do CSIRT;Czy procedura rozróżnia incydent ICT (zgłoszenie do CSIRT/KNF) od naruszenia danych osobowych (zgłoszenie do UODO) i czy istnieją oddzielne ścieżki eskalacji?;Czy wiesz, że w razie wycieku danych Twoja firma musi powiadomić poszkodowane osoby i czy znasz procedurę takiego powiadomienia?;Tak;obowiązkowe;tak
DANE_WRAZLIWE;Inspektor Ochrony Danych (IOD), powołanie i rejestracja;RODO art. 37–39;Czy organizacja powołała IOD, zarejestrowała go w UODO i udostępniła jego dane kontaktowe osobom, których dane dotyczą?;Czy dane kontaktowe IOD są opublikowane na stronie i w klauzulach informacyjnych, a IOD ma bezpośredni dostęp do zarządu bez możliwości wydawania mu instrukcji?;Czy wiesz, kto w Twojej firmie jest Inspektorem Ochrony Danych i jak możesz się z nim skontaktować?;Tak;zalecane;nie
DANE_WRAZLIWE;Rejestr Czynności Przetwarzania (RCP);RODO art. 30;Czy organizacja prowadzi aktualny RCP zawierający: cel, podstawę prawną, kategorie danych, odbiorców, okresy retencji i środki bezpieczeństwa dla każdej czynności przetwarzania?;Czy RCP jest przechowywany w ustrukturyzowanym, edytowalnym rejestrze powiązanym z systemami IT i aktualizowanym automatycznie w ramach procesu change management?;Czy w Twojej firmie istnieje rejestr wszystkich procesów przetwarzania danych osobowych (tzw. rejestr czynności przetwarzania) wraz z podstawą prawną każdego z nich?;Tak;zalecane;nie
